SITEID,LATITUDE,LONGITUDE,DUPLICATE,TARGET_SITEID,TOS_FIELD_PH,BOS_FIELD_PH
2007190001,-12.655,142.272,,TS0866,7,7
2007190002,-13.12,141.985,,TS0869,6.5,6.5
2007190003,-22.702,114.898,2007190213,TS0321,7.5,8
2007190004,-22.736,116.122,,TS0339,7.5,8
2007190005,-27.823,153.002,2007191059,TS1137,6.5,6.5
2007190007,-24.117,118.382,,TS0375,8,8
2007190009,-29.547,148.581,,TS1183,6,8
2007190010,-17.165,131.413,,TS0716,8,8.5
2007190011,-28.346,146.842,,TS1149,6.5,9
2007190012,-22.98,145.247,,TS1022,9,8.5
2007190013,-25.849,135.245,,TS0856,6.5,6
2007190014,-35.752,143.66,,TS1338,6,9
2007190015,-23.534,149.707,,TS1036,7.5,8
2007190016,-30.857,119.927,,TS0552,8,6
2007190017,-20.719,120.924,,TS0279,6.5,6.5
2007190018,-30.963,118.796,,TS0554,6.5,8
2007190019,-34.876,150.498,,TS1294,8,6
2007190021,-27.641,142.781,,TS1134,8.5,9
2007190022,-29.128,149.001,,TS1172,5.5,8
2007190023,-22.874,138.761,,TS1018,6,9
2007190024,-16.812,122.9,,TS0212,7,7.5
2007190025,-22.312,149.474,,TS0997,5,10
2007190028,-31.813,123.854,,TS0576,8.5,8.5
2007190029,-31.157,125.68,,TS0559,8.5,9
2007190031,-30.191,147.714,,TS1200,7,8
2007190032,-38.088,144.279,2007190632,TS1317,5.5,5.5
2007190033,-24.997,131.461,,TS0845,7,9
2007190034,-24.144,118.482,,TS0377,7,7
2007190035,-20.402,147.351,2007190876,TS0968,4.5,5
2007190036,-26.315,143.169,,TS1111,5.5,7
2007190038,-19.83,135.394,,TS0764,5.5,5.5
2007190039,-27.533,115.217,2007190984,TS0515,6.5,8.5
2007190041,-20.639,142.631,,TS0967,6,8
2007190042,-38.012,143.645,,TS1367,6,5.5
2007190043,-31.637,124.932,,TS0581,8.5,9
2007190044,-23.349,141.51,,TS1030,7.5,7
2007190048,-21.728,117.257,,TS0310,8.5,8.5
2007190050,-20.52,118.496,2007191481,TS0273,6,7
2007190051,-27.017,149.665,,TS1122,7,7
2007190052,-34.072,119.55,,TS0620,6,6
2007190053,-33.672,148.542,,TS1276,6,6
2007190054,-33.306,139.76,,TS0140,10,10
2007190055,-14.652,132.018,,TS0670,4.5,5
2007190056,-35.983,144.933,,TS1343,4.5,5
2007190057,-31.363,143.575,,TS1224,9,9.5
2007190058,-34.935,117.473,,TS0627,5,5
2007190059,-30.948,136.035,,TS0043,6,9.5
2007190062,-32.1,144.219,,TS1235,5.5,7.5
2007190063,-19.768,129.322,,TS0760,6.5,6.5
2007190064,-37.982,147.41,,TS1370,4.5,4.5
2007190065,-19.241,139.96,,TS0942,6.5,7
2007190066,-20.32,119.259,,TS0272,7.5,7.5
2007190067,-31.234,121.962,2007191121,TS0561,6,8.5
2007190068,-33.486,148.27,,TS1271,6,9
2007190069,-21.444,145.821,,TS0982,6,6
2007190070,-26.76,137.52,,TS0109,8,8
2007190071,-32.052,118.166,2007190289,TS0586,6,8.5
2007190072,-27.711,137.658,,TS0093,6,6
2007190073,-32.573,118.451,,TS0598,6.5,4.5
2007190074,-26.749,134.465,2007190389,TS0110,6,6.5
2007190075,-23.777,117.814,,TS0361,8,8.5
2007190076,-21.771,115.406,,TS0304,7,7.5
2007190077,-29.731,149.318,,TS1189,6,9
2007190078,-33.541,144.376,,TS1272,7.5,9.5
2007190079,-24.504,139.596,,TS1060,6,8
2007190081,-21.11,134.492,,TS0789,6,6
2007190082,-31.468,129.313,,TS0034,9.5,9.5
2007190083,-30.277,147.561,,TS1232,6.5,8.5
2007190084,-23.944,137.276,,TS0820,6,6.5
2007190086,-32.761,115.906,,TS0596,6,5.5
2007190087,-20.572,148.605,,TS0966,5,5
2007190089,-22.422,148.695,,TS1006,6,7.5
2007190090,-35.477,141.99,,TS1335,6.5,9
2007190091,-25.89,147.817,2007191053,TS1099,6,6.5
2007190092,-25.688,150.972,,TS1096,6,7
2007190093,-35.389,143.072,,TS1333,6,9
2007190094,-25.703,135.778,,TS0855,6,6.5
2007190095,-28.801,133.532,,TS0074,8.5,8.5
2007190096,-17.045,134.017,,TS0715,6,6
2007190097,-28.746,124.032,,TS0440,6,7.5
2007190098,-27.687,136.831,,TS0096,9,8.5
2007190099,-12.771,130.745,,TS0654,4,4.5
2007190101,-31.629,115.73,,TS0573,7,6.5
2007190103,-17.857,141.134,,TS0919,5.5,5.5
