shire,rainfall.yearToDate,tos_field_ph,production Level,state,Straw Yield /Ha Cereal Crop Average over 5 years,total residues,residue type,residue description,period,residue unit
albany,10.733333333333334,5.75,2.5 - 3,Western Australia,2.53,46238,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010,2009 - 2010,Tonnes/LGA
beverley,1.3,7.5,2 - 2.5,Western Australia,2.14,84722,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
bruce rock,16.933333333333334,6.0,1 - 1.5,Western Australia,1.04,124427,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
carnamah,0.2,6.5,0.5 - 1,Western Australia,0.85,47605,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
coorow,6.699999999999999,7.0,0.5 - 1,Western Australia,0.74,44921,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
dandaragan,3.5999999999999996,6.0,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
dumbleyung,2.4000000000000004,8.0,1.5 - 2,Western Australia,1.6,129134,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
gingin,0.4000000000000001,6.5,2 - 2.5,Western Australia,2.28,2341,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
irwin,0.0,7.0,1.5 - 2,Western Australia,1.98,28675,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
jerramungup,19.666666666666668,6.75,1.5 - 2,Western Australia,1.84,153571,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
kellerberrin,8.8,6.5,1 - 1.5,Western Australia,1.23,82086,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
koorda,12.0,7.5,0.5 - 1,Western Australia,0.58,36053,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
kulin,2.3,6.5,0.5 - 1,Western Australia,0.97,142893,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
lake grace,16.65,7.166666666666667,1 - 1.5,Western Australia,1.12,371191,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
merredin,26.200000000000003,6.0,0.5 - 1,Western Australia,0.77,86993,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
mount marshall,29.299999999999997,7.75,0.5 - 1,Western Australia,0.69,80921,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
mukinbudin,28.8,6.5,0.5 - 1,Western Australia,0.72,74012,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
narembeen,41.4,9.0,0.5 - 1,Western Australia,0.9,111333,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
northam,1.6,5.75,2 - 2.5,Western Australia,2.13,46512,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
northampton,0.5,6.6,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
perenjori,36.333333333333336,6.75,0 - 0.5,Western Australia,0.0,0,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
ravensthorpe,24.342857142857145,6.625,1.5 - 2,Western Australia,1.76,213718,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
three springs,25.2,8.5,0.5 - 1,Western Australia,1.0,55859,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
west arthur,0.7,5.0,2 - 2.5,Western Australia,2.33,50230,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
westonia,41.0,6.5,0.5 - 1,Western Australia,0.7,72097,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
yilgarn,25.399999999999995,6.9,0 - 0.5,Western Australia,0.5,84152,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
