shire,latitude_x,longitude_x,rainfall.yearToDate,tos_field_ph,production Level,state,Straw Yield /Ha Cereal Crop Average over 5 years,total residues,residue type,residue description,period,residue unit
albany,-34.935,117.473,10.73333333,5.75,2.5 - 3,Western Australia,2.53,46238,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010,2009 - 2010,Tonnes/LGA
beverley,-32.244,117.039,1.3,7.5,2 - 2.5,Western Australia,2.14,84722,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
bruce rock,-32.052,118.166,16.93333333,6,1 - 1.5,Western Australia,1.04,124427,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
carnamah,-29.545,116.714,0.2,6.5,0.5 - 1,Western Australia,0.85,47605,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
coorow,-29.907,115.996,6.7,7,0.5 - 1,Western Australia,0.74,44921,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
dandaragan,-30.539,115.226,3.6,6,2.5 - 3,Western Australia,2.98,70509,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
dumbleyung,-33.403,117.742,2.4,8,1.5 - 2,Western Australia,1.6,129134,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
gingin,-31.297,115.56,0.4,6.5,2 - 2.5,Western Australia,2.28,2341,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
irwin,-29.279,115.166,0,7,1.5 - 2,Western Australia,1.98,28675,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
jerramungup,-34.266,119.403,19.66666667,6.75,1.5 - 2,Western Australia,1.84,153571,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
kellerberrin,-31.807,117.654,8.8,6.5,1 - 1.5,Western Australia,1.23,82086,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
koorda,-30.928,117.383,12,7.5,0.5 - 1,Western Australia,0.58,36053,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
kulin,-32.573,118.451,2.3,6.5,0.5 - 1,Western Australia,0.97,142893,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
lake grace,-32.999,118.555,16.65,7.166666667,1 - 1.5,Western Australia,1.12,371191,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
merredin,-31.14,118.478,26.2,6,0.5 - 1,Western Australia,0.77,86993,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
mount marshall,-29.871,117.715,29.3,7.75,0.5 - 1,Western Australia,0.69,80921,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
mukinbudin,-30.842,118.267,28.8,6.5,0.5 - 1,Western Australia,0.72,74012,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
narembeen,-32.122,118.208,41.4,9,0.5 - 1,Western Australia,0.9,111333,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
northam,-31.748,116.672,1.6,5.75,2 - 2.5,Western Australia,2.13,46512,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
northampton,-27.533,115.217,0.5,6.6,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
perenjori,-29.545,116.714,36.33333333,6.75,0 - 0.5,Western Australia,0,0,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
ravensthorpe,-33.888,119.864,24.34285714,6.625,1.5 - 2,Western Australia,1.76,213718,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
three springs,-29.551,115.813,25.2,8.5,0.5 - 1,Western Australia,1,55859,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
west arthur,-33.518,116.807,0.7,5,2 - 2.5,Western Australia,2.33,50230,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
westonia,-30.963,118.796,41,6.5,0.5 - 1,Western Australia,0.7,72097,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
yilgarn,-31.202,119.294,25.4,6.9,0 - 0.5,Western Australia,0.5,84152,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
