siteid,latitude_x,longitude_x,target_siteid,tos_field_ph,shire,stationCode,stationName,latitude_y,longitude_y,dateTime,rainfall.yearToDate,rainfall.period,production Level,state,Straw Yield /Ha Cereal Crop Average over 5 years,total residues,residue type,residue description,period,residue unit
2007190016,-30.857,119.927,TS0552,8.0,yilgarn,ME005,Moorine Rock,-31.4139944,119.0341806,2022-02-22,17.2,363.0,0 - 0.5,Western Australia,0.5,84152,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190016,-30.857,119.927,TS0552,8.0,yilgarn,SB002,Muntadgin East,-31.735761,118.85894,2022-02-22,24.2,397.0,0 - 0.5,Western Australia,0.5,84152,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190016,-30.857,119.927,TS0552,8.0,yilgarn,YS,Yilgarn,-31.915622,119.256055,2022-02-22,34.8,376.8,0 - 0.5,Western Australia,0.5,84152,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190229,-31.228,119.681,TS0555,6.5,yilgarn,ME005,Moorine Rock,-31.4139944,119.0341806,2022-02-22,17.2,363.0,0 - 0.5,Western Australia,0.5,84152,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190229,-31.228,119.681,TS0555,6.5,yilgarn,SB002,Muntadgin East,-31.735761,118.85894,2022-02-22,24.2,397.0,0 - 0.5,Western Australia,0.5,84152,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190229,-31.228,119.681,TS0555,6.5,yilgarn,YS,Yilgarn,-31.915622,119.256055,2022-02-22,34.8,376.8,0 - 0.5,Western Australia,0.5,84152,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190275,-30.312,119.021,TS0538,6.5,yilgarn,ME005,Moorine Rock,-31.4139944,119.0341806,2022-02-22,17.2,363.0,0 - 0.5,Western Australia,0.5,84152,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190275,-30.312,119.021,TS0538,6.5,yilgarn,SB002,Muntadgin East,-31.735761,118.85894,2022-02-22,24.2,397.0,0 - 0.5,Western Australia,0.5,84152,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190275,-30.312,119.021,TS0538,6.5,yilgarn,YS,Yilgarn,-31.915622,119.256055,2022-02-22,34.8,376.8,0 - 0.5,Western Australia,0.5,84152,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190805,-31.846,119.999,TS0579,5.5,yilgarn,ME005,Moorine Rock,-31.4139944,119.0341806,2022-02-22,17.2,363.0,0 - 0.5,Western Australia,0.5,84152,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190805,-31.846,119.999,TS0579,5.5,yilgarn,SB002,Muntadgin East,-31.735761,118.85894,2022-02-22,24.2,397.0,0 - 0.5,Western Australia,0.5,84152,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190805,-31.846,119.999,TS0579,5.5,yilgarn,YS,Yilgarn,-31.915622,119.256055,2022-02-22,34.8,376.8,0 - 0.5,Western Australia,0.5,84152,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190890,-31.202,119.294,TS0553,8.0,yilgarn,ME005,Moorine Rock,-31.4139944,119.0341806,2022-02-22,17.2,363.0,0 - 0.5,Western Australia,0.5,84152,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190890,-31.202,119.294,TS0553,8.0,yilgarn,SB002,Muntadgin East,-31.735761,118.85894,2022-02-22,24.2,397.0,0 - 0.5,Western Australia,0.5,84152,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190890,-31.202,119.294,TS0553,8.0,yilgarn,YS,Yilgarn,-31.915622,119.256055,2022-02-22,34.8,376.8,0 - 0.5,Western Australia,0.5,84152,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190018,-30.963,118.796,TS0554,6.5,westonia,BR,Bonnie Rock,-30.599684,118.531384,2022-02-22,37.4,442.2,0.5 - 1,Western Australia,0.7,72097,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190018,-30.963,118.796,TS0554,6.5,westonia,WS001,Westonia,-31.2283,118.5931,2022-02-22,44.6,383.4,0.5 - 1,Western Australia,0.7,72097,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190039,-27.533,115.217,TS0515,6.5,northampton,BI,Binnu,-28.051,114.69575,2022-02-22,0.6,431.2,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190039,-27.533,115.217,TS0515,6.5,northampton,BI002,Binnu West,-28.014442,114.406062,2022-02-22,0.0,500.2,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190039,-27.533,115.217,TS0515,6.5,northampton,AWS,DBCA mobile/trailer AWS,-27.68678,114.26157,2018-11-02,0.0,,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190039,-27.533,115.217,TS0515,6.5,northampton,MEAN,Meanarra Tower,-27.698975,114.222944,2021-11-19,0.0,641.0,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190039,-27.533,115.217,TS0515,6.5,northampton,NW001,Northampton West,-28.300442,114.508197,2022-02-22,0.0,403.6,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190039,-27.533,115.217,TS0515,6.5,northampton,YU003,Yuna North,-28.120861,114.962611,2022-02-22,2.4,415.6,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190475,-27.63,114.249,TS0518,7.0,northampton,BI,Binnu,-28.051,114.69575,2022-02-22,0.6,431.2,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190475,-27.63,114.249,TS0518,7.0,northampton,BI002,Binnu West,-28.014442,114.406062,2022-02-22,0.0,500.2,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
2007190475,-27.63,114.249,TS0518,7.0,northampton,AWS,DBCA mobile/trailer AWS,-27.68678,114.26157,2018-11-02,0.0,,1 - 1.5,Western Australia,1.34,125626,Straw residue,Average Shire Yield of Cereal Residue in Tonnes for 2006-2010 minus 1t/ha for groundcover,2009 - 2010,Tonnes/LGA
