shire,rainfall.yearToDate,tos_field_ph,Straw Yield /Ha Cereal Crop Average over 5 years
albany,10.73333333,5.75,2.53
beverley,1.3,7.5,2.14
bruce rock,16.93333333,6,1.04
carnamah,0.2,6.5,0.85
coorow,6.7,7,0.74
dandaragan,3.6,6,2.98
dumbleyung,2.4,8,1.6
gingin,0.4,6.5,2.28
irwin,0,7,1.98
jerramungup,19.66666667,6.75,1.84
kellerberrin,8.8,6.5,1.23
koorda,12,7.5,0.58
kulin,2.3,6.5,0.97
lake grace,16.65,7.166666667,1.12
merredin,26.2,6,0.77
mount marshall,29.3,7.75,0.69
mukinbudin,28.8,6.5,0.72
narembeen,41.4,9,0.9
northam,1.6,5.75,2.13
northampton,0.5,6.6,1.34
perenjori,36.33333333,6.75,0
ravensthorpe,24.34285714,6.625,1.76
three springs,25.2,8.5,1
west arthur,0.7,5,2.33
westonia,41,6.5,0.7
yilgarn,25.4,6.9,0.5
