siteid,latitude_x,longitude_x,target_siteid,tos_field_ph,shire,stationCode,stationName,latitude_y,longitude_y,dateTime,rainfall.yearToDate
2007190003,-22.702,114.898,TS0321,7.5,ashburton,KARI,Karijini,-22.493556,118.47145,2022-02-22,240.8
2007190003,-22.702,114.898,TS0321,7.5,ashburton,MILL,Millstream Chichester National Park,-21.595033,117.072721,2022-01-28,151.4
2007190004,-22.736,116.122,TS0339,7.5,ashburton,KARI,Karijini,-22.493556,118.47145,2022-02-22,240.8
2007190004,-22.736,116.122,TS0339,7.5,ashburton,MILL,Millstream Chichester National Park,-21.595033,117.072721,2022-01-28,151.4
2007190048,-21.728,117.257,TS0310,8.5,ashburton,KARI,Karijini,-22.493556,118.47145,2022-02-22,240.8
2007190048,-21.728,117.257,TS0310,8.5,ashburton,MILL,Millstream Chichester National Park,-21.595033,117.072721,2022-01-28,151.4
2007190076,-21.771,115.406,TS0304,7.0,ashburton,KARI,Karijini,-22.493556,118.47145,2022-02-22,240.8
2007190076,-21.771,115.406,TS0304,7.0,ashburton,MILL,Millstream Chichester National Park,-21.595033,117.072721,2022-01-28,151.4
2007190135,-22.104,118.284,TS0319,8.5,ashburton,KARI,Karijini,-22.493556,118.47145,2022-02-22,240.8
2007190135,-22.104,118.284,TS0319,8.5,ashburton,MILL,Millstream Chichester National Park,-21.595033,117.072721,2022-01-28,151.4
2007190185,-22.913,116.284,TS0340,7.5,ashburton,KARI,Karijini,-22.493556,118.47145,2022-02-22,240.8
2007190185,-22.913,116.284,TS0340,7.5,ashburton,MILL,Millstream Chichester National Park,-21.595033,117.072721,2022-01-28,151.4
2007190213,-22.7,114.898,TS0321,7.5,ashburton,KARI,Karijini,-22.493556,118.47145,2022-02-22,240.8
2007190213,-22.7,114.898,TS0321,7.5,ashburton,MILL,Millstream Chichester National Park,-21.595033,117.072721,2022-01-28,151.4
2007190309,-23.376,117.039,TS0350,7.5,ashburton,KARI,Karijini,-22.493556,118.47145,2022-02-22,240.8
2007190309,-23.376,117.039,TS0350,7.5,ashburton,MILL,Millstream Chichester National Park,-21.595033,117.072721,2022-01-28,151.4
2007190386,-21.615,115.925,TS0299,8.5,ashburton,KARI,Karijini,-22.493556,118.47145,2022-02-22,240.8
2007190386,-21.615,115.925,TS0299,8.5,ashburton,MILL,Millstream Chichester National Park,-21.595033,117.072721,2022-01-28,151.4
2007190411,-23.465,117.572,TS0356,8.0,ashburton,KARI,Karijini,-22.493556,118.47145,2022-02-22,240.8
2007190411,-23.465,117.572,TS0356,8.0,ashburton,MILL,Millstream Chichester National Park,-21.595033,117.072721,2022-01-28,151.4
2007190437,-23.624,117.587,TS0357,7.5,ashburton,KARI,Karijini,-22.493556,118.47145,2022-02-22,240.8
2007190437,-23.624,117.587,TS0357,7.5,ashburton,MILL,Millstream Chichester National Park,-21.595033,117.072721,2022-01-28,151.4
2007190528,-22.205,114.785,TS0315,6.5,ashburton,KARI,Karijini,-22.493556,118.47145,2022-02-22,240.8
2007190528,-22.205,114.785,TS0315,6.5,ashburton,MILL,Millstream Chichester National Park,-21.595033,117.072721,2022-01-28,151.4
2007191003,-22.729,115.698,TS0337,7.5,ashburton,KARI,Karijini,-22.493556,118.47145,2022-02-22,240.8
2007191003,-22.729,115.698,TS0337,7.5,ashburton,MILL,Millstream Chichester National Park,-21.595033,117.072721,2022-01-28,151.4
2007191006,-22.339,119.241,TS0326,8.0,ashburton,KARI,Karijini,-22.493556,118.47145,2022-02-22,240.8
2007191006,-22.339,119.241,TS0326,8.0,ashburton,MILL,Millstream Chichester National Park,-21.595033,117.072721,2022-01-28,151.4
2007191135,-22.518,116.605,TS0331,7.5,ashburton,KARI,Karijini,-22.493556,118.47145,2022-02-22,240.8
2007191135,-22.518,116.605,TS0331,7.5,ashburton,MILL,Millstream Chichester National Park,-21.595033,117.072721,2022-01-28,151.4
2007191253,-22.914,116.284,TS0340,7.5,ashburton,KARI,Karijini,-22.493556,118.47145,2022-02-22,240.8
2007191253,-22.914,116.284,TS0340,7.5,ashburton,MILL,Millstream Chichester National Park,-21.595033,117.072721,2022-01-28,151.4
2007191369,-22.666,115.679,TS0336,7.5,ashburton,KARI,Karijini,-22.493556,118.47145,2022-02-22,240.8
2007191369,-22.666,115.679,TS0336,7.5,ashburton,MILL,Millstream Chichester National Park,-21.595033,117.072721,2022-01-28,151.4
2007191415,-21.98,115.033,TS0311,7.0,ashburton,KARI,Karijini,-22.493556,118.47145,2022-02-22,240.8
2007191415,-21.98,115.033,TS0311,7.0,ashburton,MILL,Millstream Chichester National Park,-21.595033,117.072721,2022-01-28,151.4
2007190016,-30.857,119.927,TS0552,8.0,yilgarn,ME005,Moorine Rock,-31.4139944,119.0341806,2022-02-22,17.2
2007190016,-30.857,119.927,TS0552,8.0,yilgarn,SB002,Muntadgin East,-31.735761,118.85894,2022-02-22,24.2
2007190016,-30.857,119.927,TS0552,8.0,yilgarn,YS,Yilgarn,-31.915622,119.256055,2022-02-22,34.8
2007190229,-31.228,119.681,TS0555,6.5,yilgarn,ME005,Moorine Rock,-31.4139944,119.0341806,2022-02-22,17.2
2007190229,-31.228,119.681,TS0555,6.5,yilgarn,SB002,Muntadgin East,-31.735761,118.85894,2022-02-22,24.2
2007190229,-31.228,119.681,TS0555,6.5,yilgarn,YS,Yilgarn,-31.915622,119.256055,2022-02-22,34.8
